ID,NOME,TITULO,QUALIFICACAO,DISCIPLINA,UNIVERSIDADE,ORIENTADOR,PAG,PALAVRASCHAVE,ANO,LINK
160,Caroline Farias Leal Mendonça,"“Os índios da Serra do Arapauá” : identidade, território e conflito no sertão de Pernambuco",Mestrado,Etnologia indígena,Universidade Federal de Pernambuco,Renato Monteiro Athias,113p.,"indígenas, território, conflito, identidade, processo de territorialização",00/00/2003,http://repositorio.ufpe.br/handle/123456789/17471
161,Caroline Farias Leal Mendonça,Insurgência política e desobediência epistêmica : movimento descolonial de indígenas e quilombolas na Serra do Arapuá,Doutorado,Etnologia indígena,Universidade Federal de Pernambuco,Vânia Fialho,247p.,"indígenas, quilombolas, desobediência política, desobediência epistêmica, descolonialidade",00/00/2013,http://repositorio.ufpe.br/handle/123456789/12098
162,Cátia Dagnoni,"O choque entre dois mundos o contato entre o índio e o branco na colonização do Vale do Itajaí: um estudo sobre a interpretação do imigrante europeu a respeito dos Xokleng 1850 - 1914
",Mestrado. ,Etnologia indígena,Universidade Regional de Blumenau,Maria Luiza Renaux,144 p.,"índios xokleng, história, colonização, Vale do Itajaí, imigrante",00/00/2008,http://bdtd.ibict.br/vufind/Record/FURB_5afb3fb7011f4dc0c131f7fa280b04b1
163,Celênia de Souto Macedo,O índio como outro: o desafio de construir uma identidade positiva a partir dos livros didáticos,Mestrado,Etnologia indígena,Universidade Federal de Campina Grande,Mércia Rejane Rangel Batista,152p.,"construção do outro, livro didático/educação, temática indígena",00/00/2009,http://livros01.livrosgratis.com.br/cp128300.pdf
164,Celeste Ciccarone,"Drama e sensibilidade: Migração, Xamanismo e Mulheres Mbya Guarani",Doutorado,Etnologia indígena,Pontifícia Universidade Católica de São Paulo,Carmen Sylvia de Alvarenga Junqueira,,"movimento migratório, mulheres mbya, índios guarani - religião e mitos, migração, xamanismo",00/00/2001,https://sapientia.pucsp.br/handle/handle/3872
165,Celia Letícia Gouvêa Collet,Ritos de civilização e cultura: a escola bakairi ,Doutorado,Etnologia indígena,Universidade Federal do Rio de Janeiro,Bruna Franchetto,388 p.,"Organização social e cosmologia, métodos de formação de pessoas, cerimônias coletivas, aproprição da escola",00/00/2006,http://livros01.livrosgratis.com.br/cp038546.pdf
166,Celia Maria Foster Silvestre,Entretempos: experiências de vida e resistência entre os Kaiowá e Guarani a partir de seus jovens,Doutorado,Etnologia indígena,"Universidade Estadual Paulista ""Júlio de Mesquita Filho"" - Araraquara",Augusto Caccia-Bava Júnior,205 p.,"índios da América do Sul, educação, juventude, Kaiowá, Guarani",00/00/2011,http://200.145.6.238/handle/11449/106624
167,Celso Ferrarezi Junior,"Nas aguas dos Itenes : um estudo semantico com a lingua more
",Mestrado. ,Etnologia indígena,Universidade Estadual de Campinas ,"Rodolfo Ilari 
",248 p.,"língua itene, índios da Am. Do Sul, linguagem, semântica",00/00/1997,http://repositorio.unicamp.br/handle/REPOSIP/271155
168,Celso Gestermeier do Nascimento,O contato tupi : imagens e apropriações,Mestrado. ,Etnologia indígena,Universidade Estadual de Campinas ,"Robin Michael Wright 
",148 p.,"índios da Am. Do Sul, religião e mitologia, imaginário, catequese",00/00/1996,http://repositorio.unicamp.br/bitstream/REPOSIP/279327/1/Nascimento_CelsoGestermeierdo_M.pdf
169,César Soares Jardim,Os Zuruahã: socialidade e escatologia ,Mestrado. ,Etnologia indígena,Universidade Federal do Rio de Janeiro,Aparecida M. Neiva Vilaça,161 p.,"Zuruahã, revisão bibliográfica, processos históricos, relações sociais",00/00/2009,http://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=135510
170,Chris Lopes da Silva,Da capoeira à prateleira: etnografia da produção de artefatos para a venda no Centro de Artesanatos Torü Cuagüpa Taũ da comunidade Bom Caminho,Mestrado,Etnologia indígena,Universidade Federal do Amazonas,Priscila Faulhaber Barbosa,167p.,"ticuna, artefatos, mercado, etnicidade",00/00/2014,http://tede.ufam.edu.br/handle/tede/3915
171,Christiane de Fátima Silva Mota,Doenças e Aflições: sobre o processo terapêutico na pajelança,Mestrado,Etnologia indígena,Universidade Federal do Maranhão,Sérgio Figueredo Ferretti,136p.,"Pajelança, Religiosidade, Processos Terapêuticos, Doença, Saúde",00/00/2007,http://www.ppgas.ufam.edu.br/attachments/article/9/Disserta%C3%A7%C3%A3o%20-%20Chris%20Lopes%20da%20Silva%20-%20Da%20capoeira%20%C3%A0%20prateleira.pdf
172,Christiano Barros Marinho da Silva ,"“Vai-te pra onde não canta galo, nem boi urra...” diagnóstico, tratamento e cura entre os Kariri-Xocó (AL)",Mestrado,Etnologia indígena,Universidade Federal de Pernambuco,Renato Athias,109p.,"Kariri-Xocó, sistema médico, doenças, crenças etiológicas",00/00/2003,http://repositorio.ufpe.br/bitstream/handle/123456789/678/arquivo4636_1.pdf?sequence=1&isAllowed=y
173,Christina Osward,Entre os Tupinambá: a gesta dos franceses na Guanabara ,Doutorado,Etnologia indígena,Universidade Federal do Rio de Janeiro,Eduardo Viveiros de Castro,426 p.,"Etnografia da França Antártica, fontes históricas, transcrição",00/00/2009,http://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=135463
174,Christina Rostworowski da Costa,O príncipe Maximiliano de Wied-Neuwied e sua viagem ao Brasil (1815-1817),Mestrado. ,Etnologia indígena,Universidade de São Paulo,Maria Helena Pereira Toledo Machado,140 p.,"literatura de viagem, índios Botocudos, Brasil - século XIX",00/00/2008,http://www.teses.usp.br/teses/disponiveis/8/8138/tde-15042009-150645/en.php
175,Cinthia Creatini da Rocha,"""Bora vê quem pode mais"": uma etnografia sobre o fazer política entre os Tupinambá de Olivença (Ilhéus, Bahia)",Doutorado.,Etnologia indígena,Universidade Federal de Santa Catarina,Márnio Teixeira Pinto,303p.,"tupinambá de olivença, política, territorialidade",00/00/2014,https://repositorio.ufsc.br/handle/123456789/128885
176,Cinthia Creatini da Rocha,Adoecer e curar: processos de sociabilidade Kaingang,Mestrado.,Etnologia indígena,Universidade Federal de Santa Catarina,Márnio Teixeira Pinto,142p.,"adoecer, curar, organização social, sociabilidade",00/00/2005,https://repositorio.ufsc.br/bitstream/handle/123456789/102481/220827.pdf?sequence=1
177,Cinthia Nakata,Civilizar e educar: o projeto escolar indígena da missão salesiana entre os Bororo do Mato Grosso,Mestrado. ,Etnologia indígena,Universidade de São Paulo,Paula Montero,134 p.,"antropologia histórica, Bororo, interculturalidade, missão católica, salesianos",00/00/2009,http://www.teses.usp.br/teses/disponiveis/8/8134/tde-01102009-164158/en.php
178,Cinthya Valéria Nunes Motta Kós,"Etnias, fluxos e fronteiras: processo de emergência étnica dos Kariri no Piauí",Mestrado,Etnologia indígena,Universidade Federal do Piauí,May Waddington,162p.,"índios no piauí, emergência étnica, relações interétnicas, processos indentitários",00/00/2016,http://repositorio.ufpi.br/xmlui/handle/123456789/339
179,Claide de Paula Moraes,Arqueologia na Amazônia Central vista de uma perspectiva da região do lago do Limão,Mestrado. ,Etnologia indígena,Universidade de São Paulo,Eduardo Goes Neves,243 p.,"aldeias circulares, fase paredão, levantamento arqueológico, montículos, unidades habitacionais",00/00/2007,http://www.teses.usp.br/teses/disponiveis/71/71131/tde-15052007-112151/en.php
180,Clarence Jose de Mattos,Eckhout : um olhar estrangeiro sobre o Brasil,Mestrado. ,Etnologia indígena,Universidade Estadual de Campinas ,Maria da Glória Marcondes Gohn ,135 p.,"etnologia, cultura, educação",00/00/2001,http://repositorio.unicamp.br/bitstream/REPOSIP/252678/1/Mattos_ClarenceJosede_M.pdf
181,Clarissa de Paula Martins Lima,Corpos Abertos: sobre enfeites e objetos na Vila de Cimbres (T. I. Xukuru do Ororrubá),Mestrado,Etnologia indígena,Universidade Federal de São Carlos,Marina Denise Cardoso,237 p.,"Xukuru do Ororubá, Vila de Cimbres, objetos, enfeites",00/00/2013,https://repositorio.ufscar.br/handle/ufscar/229
182,Clarissa Rocha Melo,Da universidade à casa de rezas Guarani e vice-versa: reflexões sobre a presença indígena no ensino superior a partir da experiência dos Guarani na licenciatura intercultural indígena do sul da Mata Atlântica/UFSC,Doutorado.,Etnologia indígena,Universidade Federal de Santa Catarina,Antonella Maria Imperatriz Tassinari,405p.,"ensino superior indígena, licenciatura intercultural indígena do sul da mata atlântica, conhecimentos guarani, xamanismo",00/00/2014,https://repositorio.ufsc.br/handle/123456789/129551
183,Clarissa Rocha Melo,"Corpos que falam em silêncio: escola, corpo e tempo entre os Guarani",Mestrado.,Etnologia indígena,Universidade Federal de Santa Catarina,Antonella Maria Imperatriz Tassinari,146p.,"educação guarani, corpo, tempo",00/00/2008,https://repositorio.ufsc.br/handle/123456789/91576
184,Clarisse Marina dos Anjos Raposo,"Produzindo Diferença: Gênero, Dualismo e Transformação entre os Akwẽ-Xerente",Mestrado,Etnologia indígena,Universidade Federal de Minas Gerais,Deborah de Magalhães Lima,135 p.,"gênero, dualismo, Jê, Akwe-Xerente",00/00/2009,http://www.bibliotecadigital.ufmg.br/dspace/bitstream/handle/1843/BUBD-9WWKCY/disserta__o_clarisse_raposo_pdf_definitivo_em_21_05_2015.pdf?sequence=1
185,Clarrise do Carmo Jabur,Os tiko töpö: uma reflexão sobre as categorias de alteridade dos Sanuma (subgrupo Yanomami),Mestrado,Etnologia indígena,Universidade de Brasília,José Antonio Vieira Pimenta,132 p.,"Índios Yanomami, Sanumá, socialização",00/00/2014,http://repositorio.unb.br/handle/10482/17458
186,Cláudia Maria Moreira da Silva ,“...Em busca da realidade...”: a experiência da etnicidade dos Eleotérios (Catu/RN) ,Mestrado. ,Etnologia indígena,Universidade Federal do Rio Grande do Norte,Carlos Guilherme Octaviano do Vale ,281 p.,"antropologia, indigenismo, etnicidade, etnogênese",00/00/2007,http://repositorio.ufrn.br:8080/jspui/handle/123456789/12251
187,Claudia Mura,Uma ‘Tradição de Glória’: O papel da experiência para capuchinhos e leigos úmbrios na Amazônia ,Mestrado. ,Etnologia indígena,Universidade Federal do Rio de Janeiro,João Pacheco de Oliveira,180 p.,"discursos, práticas atuais, Alto Solimões, capuchinhos, leigos úmbrios",00/00/2007,http://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=86183
188,Cláudia Pereira Gonçalves,"Divino Tserewahú, vídeo nas aldeias Et Alli: uma etnografia de encontros intersocietários",Doutorado.,Etnologia indígena,Universidade Federal de Santa Catarina,Oscar Calavia Saez,316p.,"Índios Xavante, vídeo nas aldeias, indigenismo, trabalho de campo etnográfico",00/00/2012,http://tede.ufsc.br/teses/PASO0300-T.pdf
189,Cláudia Voigt Espinola,O sistema médico Waimiri-Atroari: concepções e práticas,Mestrado.,Etnologia indígena,Universidade Federal de Santa Catarina,Esther Jean Langdon,260p.,"Waimiri-Atroari, etnografia, saúde, doença, prevenção, medicina nativa",00/00/1995,http://tede.ufsc.br/teses/PASO0043-D.pdf
190,Claudina Azevedo Maximiano,Tragédia e sofrimento: mobilização política de adoscentes e jovens indígenas no Rio Negro,Doutorado,Etnologia indígena,Universidade Federal do Amazonas,Alfredo Wagner Berno de Almeida,326p.,"adolescentes e jovens indígenas, mobilização étnica, sujeito político, tendência à criminalização",00/00/2015,http://www.ppgas.ufam.edu.br/attachments/article/17/Tese%20-%20Claudina%20Azevedo%20Maximiano%20-%20Trag%C3%A9dia%20e%20Sofrimento.pdf
191,Clementine Marechal,"""Eu luto desde que me conheço como gente"": territorialidades e cosmopolítica Kanhgág enfrentando o poder colonial no sul do Brasil",Mestrado,Etnologia indígena,Universidade Federal do Rio Grande do Sul,Sergio Baptista da Silva,214 p.,Cosmopolítica; Kaingang; Territorialidade; Xamanismo; Luta pela terra,00/00/2015,http://www.lume.ufrgs.br/handle/10183/131713
192,Cloude de Souza Correia ,"Etnozoneamento, etnomapeamento e diagnóstico etnoambiental : representações cartográficas e gestão territorial em terras indígenas no estado do Acre ",Doutorado,Etnologia indígena,Universidade de Brasília,Henyo Trindade Barreto Filho ,431 p.,"gestão ambiental, mapeamento participativo, povos indígenas",00/00/2007,http://repositorio.unb.br/handle/10482/1183
193,Corrado Dalmonego,Paeterepë: quem são esses Napëpë? Elementos para o estudo da construção Yanomami da alteridade dos missionários,Mestrado,Etnologia indígena,Pontifícia Universidade Católica de São Paulo,Lucia Helena Vitali Rangel,294 p.,"Yanomami, relações interétnicas, construção da alteridade, missão",00/00/2015,https://sapientia.pucsp.br/handle/handle/3701
194,Cristhian Teófilo da Silva,Cativando Maira: a sobrevivência avá-canoeiro no alto rio Tocantins,Doutorado,Etnologia indígena,Universidade de Brasília,Stephen Grant Baines,383 p.,"Avá-Canoeiro, tutela, história, política",00/00/2005,http://repositorio.unb.br/handle/10482/1568
195,Cristiane Lasmar Pacheco,Antropologia feminista e etnologia amazônica: a questão do gênero nas décadas de 70 e 80,Mestrado,Etnologia indígena,Universidade Federal do Rio de Janeiro,Eduardo Batalha Viveiros de Castro,140p.,"gênero, Amazônia, etnologia, antropologia feminista",00/00/1996,https://www.pagu.unicamp.br/pf-pagu/public-files/arquivo/15_lasmar_cristiane_termo.pdf
196,Cristiane Tavares Feijó,"Entre Humanos, Deuses e Plantas: uma etnografia sobre as perspectivas Mbyá Guarani na manutenção das kokue contemporâneas",Mestrado,Etnologia indígena,Universidade Federal de Pelotas,Mártin César Tempass,135 p.,Regimes de conhecimentos; Mbyá Guarani; Sementes Verdadeiras; Sementes Crioulas,00/00/2015,http://wp.ufpel.edu.br/ppgant/files/2016/10/FEIJO%CC%81_CT.pdf
197,Cristina Dias da Silva,"Cotidiano, saúde e política: uma etnografia dos profissionais da saúde indígena",Doutorado,Etnologia indígena,Universidade de Brasília,Carla Costa Teixeira,285 p.,"saúde indígena, política indígena, etnologia, direitos indígenas",00/00/2010,http://repositorio.unb.br/handle/10482/7144
198,Cynthia Franceska Cardoso,"Proteção social brasileira, amparo e desamparo aos povos indígenas",Mestrado,Etnologia indígena,Pontifícia Universidade Católica de São Paulo,Lucia Helena Vitali Rangel,106 p.,"proteção social, transferência de renda, Guarani Mbyá, vida cotidiana",00/00/2012,http://acervodigital.mds.gov.br/xmlui/handle/123456789/774
199,Daiane Amaral dos Santos,"Práticas e táticas de um ""fazer econômico"": Os Kaingang do setor Pedra Lisa - TI Guarita",Mestrado,Etnologia indígena,Universidade Federal de Santa Maria,Maria Catarina Chitolina Zanini,122 p.,Kaingang; Identidade Étnica; Antropologia Econômica,00/00/2011,http://repositorio.ufsm.br/bitstream/handle/1/6216/SANTOS%2c%20DAIANE%20AMARAL.pdf?sequence=1&isAllowed=y
200,Damiana Bregalda Jaenisch,"A arte kaigang na produção de objetos, corpos e pessoas: imagens de relações nos territórios das bacias do lago guaíba e rio dos sinos",Mestrado,Etnologia indígena,Universidade Federal do Rio Grande do Sul,Sergio Baptista da Silva,178 p.,Kaingang; Arte Indígena; Objetos; Imagens; Exposições de Arte; Museus,00/00/2010,http://www.lume.ufrgs.br/handle/10183/25532
201,Daniel Lopes Faggiano,O tempo que nos resta: estudos Kamaiurá,Mestrado,Etnologia indígena,Pontifícia Universidade Católica de São Paulo,Carmen Sylvia de Alvarenga Junqueira,130 p.,"imperialismo, capitalismo colonial, marcha para Oeste, Kamaiurá, superação do capital",,
202,Daniel Mendes Fernandes,Histórias de Aukê e seus gêmeos: uma releitura dos movimentos messiânicos dos Krahô e dos Ramkokamekrá,Mestrado,Etnologia indígena,Universidade de Brasília,Marcela Stockler Coelho de Souza,133 p.,"movimentos messiânicos, reversão da má escolha, fogo/cultura, gemelaridade, bom-senso, experimentação, captura",00/00/2009,http://repositorio.unb.br/handle/10482/4797
203,Daniel Scopel,Saúde e Doença entre os Mura de Autazes (Amazonas): Experiências indígenas frente ao tratamento biomédico para uma doença crônica,Mestrado.,Etnologia indígena,Universidade Federal de Santa Catarina,Flávio Braune Wiik,146p.,"Índios Mura, Antropologia da Saúde",00/00/2007,http://www.tede.ufsc.br/teses/PASO0196-D.pdf
204,Daniel Scopel,"Uma etnografia sobre a pluralidade de modelos de atenção à saúde entre os índios Munduruku na terra indígena Kwatá Laranjal, Borba, Amazonas: práticas de autoatenção, xamanismo e biomedicina",Doutorado.,Etnologia indígena,Universidade Federal de Santa Catarina,Esther Jean Langdon,262p.,"saberes indígenas, práticas de autoatenção, intermedicalidade, xamanismo, antropologia da saúde, índios munduruku",00/00/2013,http://tede.ufsc.br/teses/PASO0323-T.pdf
205,Daniel Tavares dos Santos,Estado e povos indígenas no Amazonas: uma reflexão sobre os processos de intervenção estatista,Mestrado,Etnologia indígena,Universidade Federal do Amazonas,José Exequiel Basini Rodriguez,126p.,"política indigenista, SEIND, intervenção estatal, gestão da questão indígena",00/00/2016,http://www.ppgas.ufam.edu.br/attachments/article/174/Disserta%C3%A7%C3%A3o%20-%20Daniel%20Tavares%20-%20Estado%20e%20Povos%20Ind%C3%ADgenas....pdf
206,Daniela Batista de Lima,"""Vamos amansar um branco para pegar as coisas"": elementos da etnohistória Kajkhwakratxi-jê (Tapayuna)",Mestrado,Etnologia indígena,Universidade de Brasília,Marcela Stockler Coelho de Souza,169 p.,Tapayuna; Etnocídio; Contato com os brancos,00/00/2012,http://repositorio.unb.br/handle/10482/22272
207,Daniela de Fátima Ferraro Nunes,O antropólogo e a ação indigenista no Maranhão,Mestrado. ,Etnologia indígena,Universidade Federal do Maranhão,Elizabeth Maria Beserra Coelho ,113 p. ,"políticas indigenistas, antropólogo, ação indigenista, etnologia indígena",00/00/2007,http://www.ppgcsoc.ufma.br/index.php?option=com_docman&task=doc_download&gid=39&Itemid=120
208,Daniele de Menezes Pires,"Alegorias etnográficas do mbyá rekó em cenários interétnicos no Rio Grande do Sul (2003-2007) : discurso, práticas e holismo mbyá frente ás políticas públicas diferenciadas",Mestrado. ,Etnologia indígena,Universidade Federal do Rio Grande do Sul,José Otávio Catafesto de Souza,189 p.,"cultura indígena, políticas públicas, índios brasileiros, patrimônio cultural, índios guaranis, antropologia social",00/00/2007,http://www.lume.ufrgs.br/bitstream/handle/10183/13812/000642573.pdf?sequence=1
209,Daniele Ferreira da Costa,Quando os índios vêm para a cidade: magia e narrativa no Instituto Tamoio dos Povos Originários,Mestrado,Etnologia indígena,Pontifícia Universidade Católica do Rio de Janeiro,Valter Sinder,129 p.,"sociologia, etnografia, narrativa, povos indígenas, índios urbanos, construção de identidade",00/00/2011,http://www.dbd.puc-rio.br/pergamum/tesesabertas/0912419_11_pretextual.pdf
210,Danielle Michelle Moura de Araújo,Deuses de Barro: universo do fazer em Pucará - Peru,Doutorado,Etnologia indígena,Universidade Federal do Rio Grande do Sul,Sergio Baptista da Silva,266 p.,Cosmologia; Cerâmica; Arte,00/00/2010,http://www.lume.ufrgs.br/handle/10183/24851
211,Dayane Renata Silva Pereira,"""Temos que ajudar o conhecimento"": professores indígenas e interculturalidade",Mestrado,Etnologia indígena,Universidade Federal de Goiás,Alexandre Ferraz Herbetta,122p.,"interculturalidade, políticas públicas, professores indígenas",00/00/2013,http://www.ppgas.cienciassociais.ufg.br/up/188/o/2013_-_Dayane.pdf
212,Débora da Costa Cadaval,Bernardino García e Descendentes Charrua no Uruguai Contemporãneo: uma etnografia sobre configurações de memória e identidades ameríndias em Tacuarembó,Mestrado,Etnologia indígena,Universidade Federal de Pelotas,Rogério Reus Gonçalves da Rosa,115 p.,Memória; Identidade; Charrua,00/00/2013,http://wp.ufpel.edu.br/ppgs/files/2014/09/Disserta%C3%A7%C3%A3o-D%C3%A9bora-da-Costa-Cadaval.pdf
213,Decio Marco Antonio de Alencar Guzman,"Historias de brancos : memoria, historiografia dos indios Manao do rio Negro (seculo XVIII-XX)",Mestrado. ,Etnologia indígena,Universidade Estadual de Campinas ,"John Manuel Monteiro
",175 p.,"índios da Am. Do Sul, Etnologia, História, Mito, Amazônia",00/00/1997,http://repositorio.unicamp.br/bitstream/REPOSIP/280736/1/Guzman_DecioMarcoAntoniodeAlencar_M.pdf
214,Deise Lucy Oliveira Montardo,"Através do ""Mbaraka : música e Xamanismo Guarani",Doutorado,Etnologia indígena,Universidade de São Paulo,Lux Boelitz Vidal,277 p.,"etnomusicologia, xamanismo, guarani, etnologia, antropologia da música",00/00/2002,https://repositorio.ufsc.br/bitstream/handle/123456789/128535/186030.pdf?sequence=1
215,Denia Román Solano,"A forma e as aparências: história e vida social dos Ulwa de Karawala, Caribe nicaraguense",Doutorado.,Etnologia indígena,Universidade Federal de Santa Catarina,Oscar Calavia Saez,478p.,"karawala, indígenas ulwa, hisotoriografia do caribe nicaraguense, etnicidade contemporânea, parentesco e ciclos da vida",00/00/2014,http://tede.ufsc.br/teses/PASO0376-T.pdf
216,Denize Refatti,Os sonhos e o caminho dos Nhe'e: uma etnografia da experiência onírica como fonte de conhecimento entre os Ava-Guarani de Ocoy,Mestrado.,Etnologia indígena,Universidade Federal de Santa Catarina,Antonella Maria Imperatriz Tassinari,169p.,"ava-guarani, sonhos, conhecimento, alma",00/00/2015,https://repositorio.ufsc.br/handle/123456789/135105
217,Deyse Silva Rubim,"Traçando novos caminhos: ressignificação dos kokama em Santo Antonio do Içá, alto solimões – AM",Mestrado,Etnologia indígena,Universidade Federal do Amazonas,Ana Carla dos Santos Bruno,132p.,"trajetória, kokama, cultura, identidade, mobilização, reafirmação",00/00/2016,http://www.ppgas.ufam.edu.br/attachments/article/174/Disserta%C3%A7%C3%A3o%20-%20Deyse%20Silva%20Rubim%20-%20Tra%C3%A7ando%20Novos%20Caminhos....pdf
218,Diana Claudia Martinez de Abraham,O mito maia do primeiro amanhecer no Popol Vuh : o tema animal e a viagem,Mestrado. ,Etnologia indígena,Universidade Estadual de Campinas ,"Elisa Angotti Kossovitch 
",114 p.,"índios Quiche, antropologia, maias, mito",00/00/1994,http://repositorio.unicamp.br/handle/REPOSIP/253825
219,Diego André León Blanco,Relações Coloniais e programas educativos como projetos políticos no contexto da comunidade Tikuna de Arara na Colômbia,Mestrado,Etnologia indígena,Universidade Federal do Pará,Ernani Pinheiro Chaves,148p.,"Tikuna, missões capuchinhas, governo, educação, colonização, colonialidade",00/00/2016,http://ppga.propesp.ufpa.br/ARQUIVOS/dissertacoes/Diego%20Leon%20Disserta%C3%A7%C3%A3o-%C3%9Altima%20vers%C3%A3o.pdf
220,Diego Campos Arruda Rodrigues,Concepções e práticas agroflorestais na terra indígena Kaigang Apucaraninha (Paraná),Mestrado,Etnologia indígena,Universidade Estadual de Londrina,Luiz Antônio Cabello Norder,128 p.,Sustentabilidade; Agroecologia; Sistemas agroflorestais; Comunidade Indígena Kaingang,00/00/2008,http://www.reformaagrariaemdados.org.br/sites/default/files/Rodrigues_Diego_CA_Me_2008.pdf
221,Diego Duarte Eltz,Corporalidades kanhgág: as relações de pessoa e corpo no tempo e no espaço kangág,Mestrado,Etnologia indígena,Universidade Federal do Rio Grande do Sul,Ceres Gomes Victora,138 p.,Corporalidade; Kaingang; Pessoa Fractal; Xamanismo; Políticas da Natureza; Cosmopolítica; Doenças e Infortúnios,00/00/2011,http://www.lume.ufrgs.br/handle/10183/37830
222,Diego Faust Ramos,O tempo Kamayurá,Mestrado.,Etnologia indígena,Universidade Federal de Santa Catarina,Rafael José de Menezes Bastos,123p.,"Kamayurá, tempo, Terra Indígena do Xingu, categoria elementar do entendimento",00/00/2010,http://www.tede.ufsc.br/teses/PASO0256-D.pdf
223,Diego Fernandes Dias Severo,"Educar, Viver, Trabalhar: os significados do fazer os artesanatos entre os Kaingang da Ëmã Por Fi Ga",Mestrado,Etnologia indígena,Universidade Federal de Santa Maria,Ceres Karam Brum,144 p.,Etnologia Ameríndia; Kaingang; Artesanato; Educação; Trabalho,00/00/2014,http://repositorio.ufsm.br/bitstream/handle/1/6241/SEVERO%2c%20DIEGO%20FERNANDES%20DIAS.pdf?sequence=1&isAllowed=y
224,Diego Soares da Silveira,"Redes sociotécnicas, práticas de conhecimento e ontologias na Amazônia: tradução de saberes no campo da biodiversidade",Doutorado,Etnologia indígena,Universidade de Brasília,Marcela Stockler Coelho de Souza,489 p.,"antropologia da ciência, biodiversidade, conhecimentos tradicionais ambientais, teoria ator-rede, redes sociotécnicas, práticas de conhecimento, multiplicidade ontológica, tradução, Amazônia",00/00/2011,http://repositorio.unb.br/handle/10482/9684
225,Diogo de Oliveira,"Arandu Nhembo'ea: cosmologia, agricultura e xamanismo entre os Guarani-chiripá no litoral de Santa Catarina",Mestrado.,Etnologia indígena,Universidade Federal de Santa Catarina,Esther Jean Langdon,283p.,"arandu, índios guarani, etnologia, conhecimento, agricultura, aprendizagem, experiência",00/00/2011,http://www.tede.ufsc.br/teses/PASO0284-D.pdf
226,Dorotea Antonia Gomez Grijalva,"A etnia e o genero na construção do Estado-Nação guatemalteco
",Mestrado. ,Etnologia indígena,Universidade Estadual de Campinas ,"Robin Michael Wright 
",205 p.,"Estado nacional, genocídio - Guatemala, posse da terra, desenvolvimento rural",00/00/2007,http://repositorio.unicamp.br/handle/REPOSIP/279330
227,Douglas Ferreira Gadelha Campelo,Ritual e Cosmologia Maxakali: uma etnografia sobre a relação entre espíritos-gaviões e os humanos,Mestrado,Etnologia indígena,Universidade Federal de Minas Gerais,Ruben Caixeta de Queiroz,246 p.,Antropologia; Etnologia; Índios Maxakali; Ritual; Parentesco; Mitologia,00/00/2009,http://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=160363
228,Duarcides Ferreira Mariosa,Hibridismo e integração nas obras de Florestan Fernandes interpretativas do Brasil,Mestrado. ,Etnologia indígena,Universidade Estadual de Campinas ,"Josue Pereira da Silva 
",223 p.,"sociologia, teoria da mudança, negros, integração social, índios tupinambá",00/00/2003,http://repositorio.unicamp.br/handle/REPOSIP/281489
229,Duvan Ricardo Murillo Escobar,Pi Køtreyei Utø Chillimal øsikmusik Tøka Atrun - Da Água e do Barro: aspectos sobre cosmologia e aprendizagem nos Misak,Mestrado,Etnologia indígena,Universidade Estadual de Campinas,"Carlos Rodrigues Brandão 
",193 p.,"Misak, Nak Chak (fogão), aprendizagem, tempo-espaço, cosmologia, Andes",00/00/2017,http://repositorio.unicamp.br/handle/REPOSIP/322616
230,Edgar Eduardo Bolivar Urueta,Influências Mẽbêngôkre: Cosmopolítica Indígena em Tempos de Belo Monte,Doutorado,Etnologia indígena,Universidade Federal Fluminense,Tânia Stolze Lima,365 p.,"Mẽbêngôkre-Mẽtyktire (Kayapo), cosmopolítica, corpo, imagem, guerra, Belo Monte",00/00/2014,http://ppgantropologia.sites.uff.br/wp-content/uploads/sites/16/2016/07/Tese-Edgar-Eduardo-Bolivar-Urueta.pdf
231,Edmundo Antonio Peggion,"Forma e função : uma etnografia do sistema de parentesco Tenharim (Kagwahiv, AM)
",Mestrado. ,Etnologia indígena,Universidade Estadual de Campinas ,Márcio Ferreira da Silva,161 p.,"índios da Am. Do Sul, parentesco, etnologia",00/00/1996,http://repositorio.unicamp.br/handle/REPOSIP/281113
232,Edmundo Marcelo Mendes Pereira,"Nimaira uruki yetara uruki :""esa es mi lucha"": ritual e política entre os Uitoto-murui, rio Cara ",Doutorado,Etnologia indígena,Universidade Federal do Rio de Janeiro,João Pacheco de Oliveira,126 p.,"Uitoto-Murui, processos rituais, reconquista territorial, identidade",00/00/2005,https://pt.scribd.com/document/188681615/Edmundo-Marcelo-Mendes-Pereira
